"SELECT","NAME","FULL_NAME","ST","ST_CLADE","period"
"AmsHSX","AmsHSX-SPLIT3","A1_000_AmsHSX_AmsHSX-SPLIT3","A1",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT17","G_000_AmsHSX_AmsHSX-SPLIT17","G",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT26","C_000_AmsHSX_AmsHSX-SPLIT26","C",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT102","02AG_000_AmsHSX_AmsHSX-SPLIT102","02AG",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT11","02AG_000_AmsHSX_AmsHSX-SPLIT11","02AG",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT8","C_000_AmsHSX_AmsHSX-SPLIT8","C",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT46","02AG_000_AmsHSX_AmsHSX-SPLIT46","02AG",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT49","B_000_AmsHSX_AmsHSX-SPLIT49","B",4,"pre-startd"
"AmsHSX","AmsHSX-SPLIT61","C_000_AmsHSX_AmsHSX-SPLIT61","C",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT15","D_000_AmsHSX_AmsHSX-SPLIT15","D",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT57","C_000_AmsHSX_AmsHSX-SPLIT57","C",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT32","02AG_000_AmsHSX_AmsHSX-SPLIT32","02AG",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT20","G_000_AmsHSX_AmsHSX-SPLIT20","G",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT75","02AG_000_AmsHSX_AmsHSX-SPLIT75","02AG",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT7","02AG_000_AmsHSX_AmsHSX-SPLIT7","02AG",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT23","C_000_AmsHSX_AmsHSX-SPLIT23","C",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT58","02AG_000_AmsHSX_AmsHSX-SPLIT58","02AG",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT9","06cpx_000_AmsHSX_AmsHSX-SPLIT9","06cpx",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT44","C_000_AmsHSX_AmsHSX-SPLIT44","C",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT14","06cpx_000_AmsHSX_AmsHSX-SPLIT14","06cpx",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT26","A1_000_AmsHSX_AmsHSX-SPLIT26","A1",NA,"post-startd"
"AmsHSX","AmsHSX-SPLIT18","02AG_000_AmsHSX_AmsHSX-SPLIT18","02AG",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT95","02AG_000_AmsHSX_AmsHSX-SPLIT95","02AG",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT6","06cpx_000_AmsHSX_AmsHSX-SPLIT6","06cpx",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT8","06cpx_000_AmsHSX_AmsHSX-SPLIT8","06cpx",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT89","02AG_000_AmsHSX_AmsHSX-SPLIT89","02AG",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT29","A1_000_AmsHSX_AmsHSX-SPLIT29","A1",NA,"pre-startd"
